nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
RUA PERNAMBUCO,1132,65900500,MERCADINHO,IMPERATRIZ,MA,"-5,5090733","-47,4882189",18648
AVENIDA GETULIO VARGAS,997,86900000,CENTRO,JANDAIA DO SUL,PR,"-23,6009553","-51,6428901",18649
RODOVIA ANTONIO HEIL,,88316000,ITAIPAVA,ITAJAI,SC,"-26,9458222","-48,7228926",18651
RUA ALARICO RIBEIRO,1336,96503071,OLIVEIRA,CACHOEIRA DO SUL,RS,"-30,0194499","-52,9078832",18653
RUA MARCO POLO,593,21221400,VILA DA PENHA,RIO DE JANEIRO,RJ,"-22,8452906","-43,3111474",18655
PRACA EMILIO TALIB,SN,11800000,CENTRO,JUQUIA,SP,"-24,319196","-47,6350613",18657
AVENIDA DOS ESPORTES,1144,13270210,VILA BISSOTO,VALINHOS,SP,"-22,9788734","-47,0007713",18658
RUA VERISSIMO PRADO,90,13520000,SANTA CRUZ,SAO PEDRO,SP,"-22,5507934","-47,9073237",18660
AVENIDA TREIS,240,30670565,PARQUE SAO PEDRO,BELO HORIZONTE,MG,"-19,850068","-43,8888878",18662
RUA DOS EXPEDICIONARIOS,95,38900000,CENTRO,BAMBUI,MG,"-20,0121024","-45,9775367",18664
RUA VICENTE CELESTINO,638,25220020,JARDIM LIDER,DUQUE DE CAXIAS,RJ,"-22,6908971","-43,257781",18666
AVENIDA GAL MAC ARTHUR,1333,08210040,JAGUARE,SAO PAULO,SP,"-23,5538025","-46,7531402",18668
RUA ANDRADAS,250,08210040,CHORA MENINO,SAO PAULO,SP,"-23,5379333","-46,6380205",18669
RUA SANTA CATARINA,38,09510120,CENTRO,SAO CAETANO DO SUL,SP,"-23,613161","-46,5717553",18671
AVENIDA FLORIANO PEIXOTO,702,18600240,CENTRO,BOTUCATU,SP,"-22,8813363","-48,4412543",18673
RUA GOVERNADOR PEDRO DE TOLEDO,840,13400060,CENTRO,PIRACICABA,SP,"-22,7247512","-47,6475697",18675
AVENIDA RIO GRANDE,873,38280000,CENTRO,ITURAMA,MG,"-19,7325394","-50,1988963",18676
AVENIDA BRASIL,3645,87000000,,MARINGA,PR,"-23,4210101","-51,937486",18677
AVENIDA DOUTOR OLIVEIRA CASTRO,240,85980000,RODOVIARIA,GUAIRA,PR,"-24,0791181","-54,252535",18679
RUA FRANCELINO RODRIGUES,685,08737360,VILA SAO SEBASTIAO,MOGI DAS CRUZES,SP,"-23,5509232","-46,2005694",18681
RUA SETE BARRAS,177,11900000,CENTRO,REGISTRO,SP,"-24,4869509","-47,845386",18682
AVENIDA DJALMA BATISTA,SN,69053000,NOSSA SENHORA DAS GRACAS,MANAUS,AM,"-3,0955231","-60,0240754",18684
RUA JOSE JENIOLE,53,08210040,JARDIM CASA BRANCA,SAO PAULO,SP,"-23,647361","-46,7453569",18685
RUA ALMIRANTE ALEXANDRINO,1118,96640000,BAIRRO SO JORGE,RIO PARDO,RS,"-29,9791656","-52,3820801",18687
AVENIDA DAS NACOES UNIDAS,13947,04578000,BROOKLIN PAULISTA,SAO PAULO,SP,"-23,6073487","-46,6975266",18688
LOCALIDADE,,48601190,BNH,PAULO AFONSO,BA,"-9,4061251","-38,2163717",18690
RUA DOIS,331,27320170,VISTA ALEGRE,BARRA MANSA,RJ,"-22,5548674","-44,1116496",18691
RUA COLINA,397,06343340,VILA DIRCE,CARAPICUIBA,SP,"-23,5644679","-46,8334289",18693
JARDIM SAO JOSE,SN,24726280,MONJOLO,SAO GONCALO,RJ,"-22,8031197","-42,9938137",18695
RUA VIEIRA DE CARVALHO,459,09572490,NOVA GERTY,SAO CAETANO DO SUL,SP,"-23,6452281","-46,5645147",18697
AVENIDA PADRE ANCHIETA,SN,85835970,CENTRO,JESUITAS,PR,"-24,380725","-53,3868124",18699
AVENIDA DA INTEGRACAO,2095,59065780,CANDELARIA,NATAL,RN,"-5,8403903","-35,2225281",18701
RUA NEWTON PRADO,188,18540000,CENTRO,PORTO FELIZ,SP,"-23,2190709","-47,5251427",18703
