nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,"-23,5505199","-46,6333094",4812
RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,"-14,7809311","-39,2636",4818
AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,"-16,2806113","-48,9319839",4823
RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,"-23,0864185","-46,9770708",4826
RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,"-22,8492135","-43,2540858",4828
ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,"-27,0337085","-49,3872519",4830
AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433882","-40,3875092",4835
RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,"-26,6109126","-49,0091505",4838
RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,"-22,8525901","-47,1565107",4841
AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,"-19,9120148","-43,9711978",4845
AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,"-23,5505199","-46,6333094",4848
PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,"-19,8909944","-43,9523488",4851
RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,"-29,6963563","-53,844565",4854
RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,"-7,1882638","-39,7376748",4856
LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,"-26,1117326","-49,8065079",4858
RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,"-8,1138885","-35,2915134",4860
RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,"-23,6001428","-46,6763564",4862
AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,"-18,908382","-48,270572",4865
AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,"-23,541913","-46,7788579",4867
RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,"-21,1900316","-49,580999",4869
RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,"-28,1322847","-55,0223579",4871
RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,"-26,2993337","-48,844535",4874
ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,"-29,8744377","-50,9984135",4876
RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,"-23,5702953","-46,6197298",4879
RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,"-21,5368229","-42,6413579",4882
LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,"-27,4872075","-50,9728528",4884
RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,"-20,3137737","-40,2941848",4887
RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,"-22,9249284","-43,3431213",4890
LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,"-24,8569233","-54,3334256",4893
RUA MIGUEL GLINKA,,24716072,JARDIM CATARINA,SAO GONCALO,RJ,"-22,7853052","-43,0051048",4895
VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,"-20,4780031","-49,7779205",4897
RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,"-22,0268377","-47,8934375",4900
RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,"-19,6284156","-43,220858",4902
AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,"-23,6911701","-46,5606889",4906
AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,"-23,5714458","-46,697283",4909
RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,"-5,2887251","-36,7603816",4911
AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,"-29,4589733","-51,9673123",4913
RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,"-11,7946561","-37,9435616",4915
RUA OLAVO BILAC,1,77890000,CENTRO,ANANAS,TO,"-6,3685511","-48,0697669",4917
RUA EGEO BENTO FRATICCELI,311,06550000,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,SP,"-23,3969772","-46,9995522",4919
RUA ROXO MOREIRA,76,13083590,CIDADE UNIVERSITARIA,CAMPINAS,SP,"-22,812618","-47,0761302",4922
RUA PINHEIROS,72,09692020,PAULICEIA,SAO BERNARDO DO CAMPO,SP,"-23,6698174","-46,5853564",4925
AVENIDA SAO PAULO,503,19840000,CENTRO,MARACAI,SP,"-22,6105462","-50,6671498",4927
FAZENDA SAO JOSE,SN,19804355,AGUA DO MELCHIOR,ASSIS,SP,"-22,6606373","-50,404369",4929
SITIO MURICI,16,55000000,MURICI,CARUARU,PE,"-8,2849639","-35,9701874",4931
RUA JAGUARI,723,90820180,SANTA TEREZA,PORTO ALEGRE,RS,"-30,0875704","-51,2356869",4933
RUA JOSE NICOLINI,8,35235000,NICOLANDIA,RESPLENDOR,MG,"-19,3244066","-41,2513767",4935
RODOVIA BR 376,3475,86975000,PARQUE INDUSTRIAL,MANDAGUARI,PR,"-23,5259717","-51,6790774",4938
AVENIDA ADOLFO PINHEIRO,3520,04734003,SANTO AMARO,SAO PAULO,SP,"-23,6317575","-46,6913253",4942
AVENIDA F A,150,76970000,SAO FILIPE,PIMENTA BUENO,RO,"-11,6821425","-61,1765191",4944
RODOVIA BR 163,SN,79440000,ZONA RURAL,JARAGUARI,MS,"-20,7683924","-54,5282522",4946
RUA SAPOPEMBA,14B,02859140,JARDIM VITORIA REGIA ZONA NORTE,SAO PAULO,SP,"-23,4383937","-46,7079522",4948
AVENIDA DA PENHA,570,29055131,PRAIA DO CANTO,VITORIA,ES,"-20,3058891","-40,2963769",4950
SITIO SAO JOSE,SN,18230000,BOA VISTA,SAO MIGUEL ARCANJO,SP,"-23,8888022","-47,9811739",4952
AVENIDA JOAO PEREIRA DE VARGAS,2884,93230210,NOVA SAPUCAIA,SAPUCAIA DO SUL,RS,"-29,8450304","-51,1373736",4954
RUA RADIALISTA M SOBRINHO,95,30001970,CEU AZUL II,BELO HORIZONTE,MG,"-19,8122294","-44,0050075",4956
RUA CARDEAL STEPINAC,592,31170220,CIDADE NOVA,BELO HORIZONTE,MG,"-19,8868188","-43,924144",4959
AVENIDA ITABERABA,3623,02739000,VILA MARACANA,SAO PAULO,SP,"-23,4778099","-46,6820484",4961
RUA CORONEL MUNDICO SA,222,64500000,CENTRO,OEIRAS,PI,"-7,0136487","-42,1322099",4963
RUA DONA ZULMIRA,498,90830240,CAVALHADA,PORTO ALEGRE,RS,"-30,0956211","-51,2272425",4965
RUA ALVARES AZEVEDO,190,04671040,VILA SOFIA,SAO PAULO,SP,"-23,657769","-46,693659",4967
RUA LUIZ VIANA,5,45265000,CENTRO,CAETANOS,BA,"-14,3354678","-40,9046493",4969
RUA RICARDO EMILIO MICHEL,66,81250610,CIDADE INDUSTRIAL,CURITIBA,PR,"-25,4876981","-49,3406071",4971
AVENIDA DAS BANDEIRAS,806,79081310,JARDIM NHANHA,CAMPO GRANDE,MS,"-20,4798635","-54,6215663",4973
RUA VITORINO BACELAR,223,89300000,CENTRO,MAFRA,SC,"-26,1117326","-49,8065079",4975
ESTRADA BENEDITO CESARIO DE OLIVEIRA,588,06767280,VILA IASI,TABOAO DA SERRA,SP,"-23,6214512","-46,7888221",4977
RUA 6,SN,74633400,VILA OSVALDO ROSA,GOIANIA,GO,"-16,6591068","-49,278129",4979
RUA CUSTODIO NASCIMENTO,20,08380059,JARDIM ROSELI,SAO PAULO,SP,"-23,5948436","-46,4432643",4981
TRECHO PORTUGUES,39,35300068,CENTRO,CARATINGA,MG,"-19,7896207","-42,1415419",4983
AVENIDA ITABERABA,5107,02739000,VILA N CACHOEIRINHA,SAO PAULO,SP,"-23,474187","-46,6693958",4985
RUA DEDI BARICHELLO MONTAGNER,SN,85660000,CENTRO NORTE,DOIS VIZINHOS,PR,"-25,7464549","-53,0615734",4987
RUA GETULIO VARGAS,SN,58770000,CENTRO,COREMAS,PB,"-7,0190869","-37,9440765",4989
RUA COMENDADOR ANTONIO ALVES,704,33600970,CENTRO,PEDRO LEOPOLDO,MG,"-19,6213368","-44,0415215",4991
RUA XV DE NOVEMBRO,51,16880000,CENTRO,VALPARAISO,SP,"-21,2254231","-50,8683504",4993
AVENIDA DA SAUDADE,32,13150000,CHACARA HORIZONTE,COSMOPOLIS,SP,"-22,6482084","-47,1886192",4995
RODOVIA SC 405,112,88065000,CAMPECHE,FLORIANOPOLIS,SC,"-27,6619842","-48,501835",4997
RUA DO RUSSEL,SN,74942470,JARDIM BURITI SERENO,APARECIDA DE GOIANIA,GO,"-16,820257","-49,2473044",4999
RUA ALVES DE BRITO,141,88015440,CENTRO,FLORIANOPOLIS,SC,"-27,5859254","-48,5471612",5001
PRACA DOUTOR GAMA,476,16200003,CENTRO,BIRIGUI,SP,"-21,28913","-50,34124",5003
RUA ALEIXO RODRIGUES DE QUEIROZ,840,75115010,VILA INDUSTRIAL,ANAPOLIS,GO,"-16,328546","-48,953403",5005
FAZENDA MARACUJA,SN,35500970,AREA RURAL,DIVINOPOLIS,MG,"-20,1451261","-44,8916447",5007
RUA GRACIOSA FABRO,114,95055065,DIAMANTINO,CAXIAS DO SUL,RS,"-29,1557242","-51,1393047",5009
RUA PEROLINA ARAUJO,166,49890000,CENTRO,NOSSA SENHORA DE LOURDES,SE,"-10,0776488","-37,0570297",5010
SITIO MONTE AZUL,SN,16640000,DUAS PONTES,BALBINOS,SP,"-21,8967699","-49,3623695",5013
RUA ALBINO B GABRIL,227,04727030,VILA CRUZEIRO,SAO PAULO,SP,"-23,6427249","-46,7134267",5015
RUA APOL SATHLER,86,35040060,SANTA RITA,GOVERNADOR VALADARES,MG,"-18,8549317","-41,9559233",5017
SITIO SAO BENEDITO,SN,19880000,AGUA DO FOGO,CANDIDO MOTA,SP,"-22,7466667","-50,3880476",5019
RUA ANTONIO LOSSO,972,85055310,CONRADINHO,GUARAPUAVA,PR,"-25,3695058","-51,4636864",5021
RUA LONDRES,450,03731030,VILA LONDRINA,SAO PAULO,SP,"-23,5107859","-46,5360225",5022
RUA HEITOR PENTEADO,1759,05437000,SUMAREZINHO,SAO PAULO,SP,"-23,5438399","-46,6943593",5025
RUA DESEMBARGADOR MOTTA,2308,80420190,CENTRO,CURITIBA,PR,"-25,435128","-49,2829662",5027
AVENIDA DO AGRICULTOR,SN,46470000,SAO FELIX,RIACHO DE SANTANA,BA,"-13,6063873","-42,9400663",5030
PRACA GAGO COUTINHO,SN,41510045,SAO CRISTOVAO,SALVADOR,BA,"-12,9141607","-38,336459",5032
RUA DOUTOR ATALIBA LEONEL,225,18740000,CENTRO,TAQUARITUBA,SP,"-23,5334414","-49,2439031",5034
AVENIDA DOUTOR VITAL BRASIL,1108,05503000,BUTANTA,SAO PAULO,SP,"-23,5688671","-46,7147589",5036
RUA MANUEL DE MACEDO,386,14030560,JARDIM PIRATININGA,RIBEIRAO PRETO,SP,"-21,1830653","-47,8363908",5038
RUA DO URUGUAI,753,40454260,URUGUAI,SALVADOR,BA,"-12,9299892","-38,4924987",5040
RUA CLAUDIONOR WANDERLEY,74,40301155,BOA VIAGEM,SALVADOR,BA,"-12,9303016","-38,5120363",5042
AVENIDA MARECHAL HERMES,200,11700250,CANTO DO FORTE,PRAIA GRANDE,SP,"-24,0126477","-46,406233",5044
RUA LUDGERO GUILHERME COSTA,111A,62790000,CENTRO,REDENCAO,CE,"-4,2238817","-38,7302215",5046
RUA FRANCISCO DE ASSIS,25,85022220,BOQUEIRAO,GUARAPUAVA,PR,"-25,4135668","-51,4746181",5048
RUA DOM PEDRO II,1499,76804027,SAO CRISTOVAO,PORTO VELHO,RO,"-8,760919","-63,8962021",5050
RUA MARCILIO DIAS,380,88511570,VARZEA,LAGES,SC,"-27,8361769","-50,3106181",5052
AVENIDA MENDEL,61,35702192,JK,SETE LAGOAS,MG,"-19,4204056","-44,2442282",5054
RUA DO MINUANO,223,79080520,JARDIM MARCOS ROBERTO,CAMPO GRANDE,MS,"-20,4855858","-54,6285346",5056
RODOVIA BA 52,900,47400000,ALFREDO HENRIQUE SAMPAIO,XIQUE XIQUE,BA,"-10,8234273","-42,724969",5058
RUA INDUSTRIAL,180,26021150,POSSE,NOVA IGUACU,RJ,"-22,7319933","-43,4554915",5060
RUA VICENTE FRANCO TOLENTINO,132,03982180,PARQUE SANTA MADALENA,SAO PAULO,SP,"-23,6125469","-46,506455",5062
AVENIDA ROBERT KENNEDY,3073,09860122,JARDIM BRASILANDIA,SAO BERNARDO DO CAMPO,SP,"-23,7177081","-46,5732203",5064
PRACA VEREADOR JOSE MARQUES BORGES,78,46220000,CENTRO,RIO DO ANTONIO,BA,"-14,4075968","-42,0724884",5066
AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,560,80320300,SANTA QUITERIA,CURITIBA,PR,"-25,4572615","-49,3034942",5068
RUA FREI EUSTAQUIO,52A,39400612,SAO JUDAS TADEU,MONTES CLAROS,MG,"-16,7473624","-43,8609503",5070
RUA JOAO DE SIQUEIRA AFONSO,281,08452000,LAJEADO,SAO PAULO,SP,"-23,5379837","-46,3959428",5072
RUA WILSON TRONCOSO,958,16204155,RESIDENCIAL ALVORADA,BIRIGUI,SP,"-21,2915055","-50,3436312",5074
RUA FRANCISCO VALOIS,SN,75104280,SETOR INDUSTRIAL AEROPORTO,ANAPOLIS,GO,"-16,3596741","-48,9269257",5076
RUA PARAIBA,SN,47850000,CENTRO,LUIS EDUARDO MAGALHAES,BA,"-12,079662","-45,7988017",5078
RUA ALFREDO SCHURIG,67,12327005,CENTRO,JACAREI,SP,"-23,305827","-45,9691692",5080
RUA F,386,68515000,UNIAO,PARAUAPEBAS,PA,"-6,0686758","-49,9050556",5082
ESTRADA MUNICIPAL TURIUBA A MONCOES,,15280000,PALMEIRAS,TURIUBA,SP,"-20,9475914","-50,1104467",5084
RUA ALIADOS,484,14080570,CAMPOS ELISEOS,RIBEIRAO PRETO,SP,"-21,1502253","-47,8020031",5086
RUA DEPUTADO LACERDA FRANCO,553,05418001,PINHEIROS,SAO PAULO,SP,"-23,5607191","-46,6926222",5088
RUA FRANCISCO KNABBEM,SN,88735000,TERMAS DO GRAVATAL,GRAVATAL,SC,"-28,3212662","-49,0431687",5090
SITIO SINAI,SN,19470000,CAMPINAL,PRESIDENTE EPITACIO,SP,"-21,7668575","-52,1096427",5092
AVENIDA OTTO BAUMGART,500,02049000,VILA GUILHERME,SAO PAULO,SP,"-23,5144575","-46,615003",5094
RUA PC ALEXANDRITA,205,94431700,LOTEAMENTO ELDORADO,VIAMAO,RS,"-30,0722165","-51,0969571",5096
AVENIDA DELFINOPOLIS,10,07150010,CIDADE SERODIO,GUARULHOS,SP,"-23,415495","-46,459726",20266
RUA MARIA FRANCISCA PEREIRA,50,17064430,PARQUE ROOSEVELT,BAURU,SP,"-22,3008094","-49,0942451",5101
AVENIDA SAO GABRIEL,477,01435001,JARDIM PAULISTA,SAO PAULO,SP,"-23,5787839","-46,6709915",5103
RUA CORONEL LIMA ROCHA,628,57055502,PINHEIRO,MACEIO,AL,"-9,6386866","-35,7414187",5105
RUA JOAO PINTO DE OLIVEIRA,480,02849110,JARDIM GUARANI,SAO PAULO,SP,"-23,4613552","-46,6877888",5108
ESTRADA AMELIA B DOS SANTOS,113,88380000,MORRETES,BALNEARIO PICARRAS,SC,"-26,7684656","-48,6804184",5109
RUA HELIO DE OLIVEIRA,67,40265020,SANTA TERESA,SALVADOR,BA,"-12,9767211","-38,4839218",5111
RUA EMILIO TEODORO SILVA,30,37418000,CENTRO,SAO THOME DAS LETRAS,MG,"-21,7218513","-44,983291",5113
RUA PROFESSOR SA NUNES,24,21231030,IRAJA,RIO DE JANEIRO,RJ,"-22,8305297","-43,323059",5115
RUA RODOLFO NOVAES,1,45280000,CENTRO,IGUAI,BA,"-14,7532122","-40,0897858",5117
RUA PINDUCA SOARES,207,18150000,CENTRO,IBIUNA,SP,"-23,6563725","-47,2200581",5119
QUADRA 804 SUL ALAMEDA 5,1,77023010,PLANO DIRETOR SUL,PALMAS,TO,"-10,233297","-48,3264233",5121
AVENIDA REPUBLICA DO LIBANO,2099,04501003,MOEMA,SAO PAULO,SP,"-23,5979582","-46,661274",5123
RUA MIRTES ROCHA,354,60721140,VILA PERY,FORTALEZA,CE,"-3,7823467","-38,5800252",5125
TRAVESSA WE,35,67133180,CIDADE NOVA,ANANINDEUA,PA,"-1,3593738","-48,4028777",5127
RUA PROJETADA,SN,65800000,SETOR INDUSTRIAL,BALSAS,MA,"-7,5229754","-46,0336504",5129
AVENIDA JACOB LOPES CASTRO,100,36570000,NOVA ERA,VICOSA,MG,"-20,7548659","-42,8785788",5131
AVENIDA DANIEL DE LA TOUCHE,987,65074115,COHAMA,SAO LUIS,MA,"-2,527453","-44,2550163",5133
QN 7 CONJUNTO 22,,71805722,RIACHO FUNDO 1,BRASILIA,DF,"-15,8804735","-48,0199726",5135
RUA MANOEL PRETO,32,84269180,JARDIM BANDEIRANTES,TELEMACO BORBA,PR,"-24,3340741","-50,6554473",5137
AVENIDA ITAQUERA,796,03526000,JARDIM MARINGA,SAO PAULO,SP,"-23,5546437","-46,515545",5140
RUA JOAO GERALDO CLARO,166,17213403,JARDIM PADRE AUGUSTO SANI,JAU,SP,"-22,3123814","-48,5915581",5142
AVENIDA DANILO CORREA,SN,69860000,CIDADE ALTA,PAUINI,AM,"-7,7143584","-66,9765208",5144
RUA A,10,35022651,PORTO DAS CANOAS,GOVERNADOR VALADARES,MG,"-18,8667494","-41,9732357",5146
RUA LAGOA DOURADA,107,32628076,VIANOPOLIS,BETIM,MG,"-19,9540197","-44,1184353",5148
AVENIDA GOVERNADOR MUNIZ FALCAO,SN,56280000,CENTRO,ARARIPINA,PE,"-7,5841062","-40,5019729",5150
RUA ANTONIO ZANCO,79,06192130,KM 18,OSASCO,SP,"-23,5275105","-46,8042892",5153
RUA SETE DE ABRIL,118,01043000,REPUBLICA,SAO PAULO,SP,"-23,5465859","-46,6405827",5155
AVENIDA ELIEZER MOREIRA,253,65950000,TAMARINDO,BARRA DO CORDA,MA,"-5,5047711","-45,2520016",5157
RUA DONHA PINTO CARVALHO,SN,77318000,CENTRO,NOVO JARDIM,TO,"-11,8201782","-46,6236058",5158
AVENIDA JERUZALEM,47,29145620,VILA PALESTINA,CARIACICA,ES,"-20,3433296","-40,3935511",5160
RUA MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO,926,14806202,JARDIM IMPERADOR,ARARAQUARA,SP,"-21,75025","-48,1618945",5162
RUA DOUTOR TEIXEIRA DE CARVALHO,444,79670000,CENTRO,BRASILANDIA,MS,"-21,255102","-52,0355549",5164
RUA DOUTOR DIOGO DE FARIA,1155,04037004,VILA CLEMENTINO,SAO PAULO,SP,"-23,5953645","-46,6479752",5166
RUA VIRGILIO FURLAN,1277,13424080,PAULICEIA,PIRACICABA,SP,"-22,7544969","-47,6447326",5168
RUA ROMA,643,38405076,TIBERY,UBERLANDIA,MG,"-18,902623","-48,2519507",5170
RUA RIACHUELO,1010,97670000,CENTRO,SAO BORJA,RS,"-28,6592231","-56,0081974",5172
RUA CASILDA DULCE DOS SANTOS,1674,39300000,APARECIDA,SAO FRANCISCO,MG,"-15,9610185","-44,8579311",5176
RUA ALCEBIADES JOSE SOBREIRA,96,29313155,BNH,CACHOEIRO DE ITAPEMIRIM,ES,"-20,8391089","-41,156889",5178
RUA PEDRO BERDU DIAS,3251,14405152,VILA FORMOSA,FRANCA,SP,"-20,5248861","-47,4040493",5180
AVENIDA HORACIO NEGRISOLO,43,14230000,CENTRO,SERRA AZUL,SP,"-21,3115279","-47,5642608",5182
RUA AUGUSTO ENEAS CARVALHO,SN,64728970,CENTRO,PEDRO LAURENTINO,PI,"-8,0664805","-42,2877782",5184
RUA DIARIO DE PERNAMBUCO,100,55150615,EDSON MORORO MOURA,BELO JARDIM,PE,"-8,336385","-36,4173092",5186
RUA SAO MATEUS,64,78065258,CAMPO VELHO,CUIABA,MT,"-15,5754036","-56,1000102",5188
AVENIDA NOSSA SENHORA DE FATIMA,1285,95970000,FATIMA,MUCUM,RS,"-29,1529531","-51,8596569",5190
RUA SAFIRA,113,32113030,SAO JOAQUIM,CONTAGEM,MG,"-19,8793309","-44,0232474",5192
RUA ARAGUACI,67,77816180,JK,ARAGUAINA,TO,"-7,1858818","-48,209071",5194
AVENIDA MARECHAL RONDON,137,78500970,CENTRO,COLIDER,MT,"-10,8079828","-55,4571289",5196
AVENIDA VITORIA,2091,29900081,CENTRO,LINHARES,ES,"-19,3930805","-40,0670819",5198
RUA JOAQUIM TEIXEIRA ALVES,1570,79801015,CENTRO,DOURADOS,MS,"-22,2293288","-54,8121751",5200
RUA GENERAL OSORIO,259,11250000,JARDIM PAULISTA,BERTIOGA,SP,"-23,8392171","-46,1339912",5202
RUA DANIEL FILHO,25,45980000,CENTRO,PRADO,BA,"-17,3340784","-39,2250585",5203
RUA LORENZO PENNA,57,08371160,JARDIM HELENA,SAO PAULO,SP,"-23,5955076","-46,450417",5205
AVENIDA LATERAL NORTE,467,61921010,ACARACUZINHO,MARACANAU,CE,"-3,8478597","-38,611727",5207
RUA GIUSEPPE BIBIENA,254,04183020,JARDIM SANTA EMILIA,SAO PAULO,SP,"-23,6433974","-46,5976786",5209
RUA MARQUES DO HERVAL,167,50020901,SANTO ANTONIO,RECIFE,PE,"-8,0663018","-34,8819277",5211
RUA APOLONIA VON BUETTNER,560,89037020,ASILO,BLUMENAU,SC,"-26,9063866","-49,0968304",5213
RUA MINAS GERAIS,878,16403134,JUNQUEIRA,LINS,SP,"-21,6817079","-49,7407169",5215
RUA HENRIQUE VERA DO NASCIMENTO,395,88062020,LAGOA DA CONCEICAO,FLORIANOPOLIS,SC,"-27,5953778","-48,5480499",5217
AVENIDA MARIO JORGE MENEZES VIEIRA,800,49035240,COROA DO MEIO,ARACAJU,SE,"-10,947987","-37,045653",5219
RUA VOLUNTARIO ETELVINO BORGES,674,14670000,CENTRO,NUPORANGA,SP,"-20,7304489","-47,7528331",5221
RUA DA FRATERNIDADE,691,39403022,ALTEROSAS,MONTES CLAROS,MG,"-16,7664647","-43,8626339",5222
AVMD BELO HORIZONTE,228,85933000,CENTRO,OURO VERDE DO OESTE,PR,"-24,7740823","-53,9023748",5224
RUA ANGELO LA PORTA,76,88020600,CENTRO,FLORIANOPOLIS,SC,"-27,5883983","-48,5421754",5226
RUA TRINTA E UM DE MARCO,460,79930970,CENTRO,ARAL MOREIRA,MS,"-22,9503292","-55,6265331",5228
RUA BRILHO DO SOL,1546,69316128,BELA VISTA,BOA VISTA,RR,"2,7688237","-60,72572",5230
RUA PROFESSOR JOSE VIEIRA DE MENDONCA,1121,31310260,ENGENHO NOGUEIRA,BELO HORIZONTE,MG,"-19,8825589","-43,9791395",5232
AVENIDA PRESIDENTE KENNEDY,3330,60355425,ALDEOTA,FORTALEZA,CE,"-3,7043863","-38,5791784",5234
AVENIDA JOHN KENNEDY,508D,45190000,CENTRO,PLANALTO,BA,"-14,6603923","-40,4788747",5236
AVENIDA PACAEMBU,3217,13222305,JARDIM AMERICA III,VARZEA PAULISTA,SP,"-23,2107065","-46,8311254",5238
RUA RICARDO DOS SANTOS,35,24461150,MUTUA,SAO GONCALO,RJ,"-22,8097833","-43,0349971",5240
RUA VASSOURAS,47,25650500,QUITANDINHA,PETROPOLIS,RJ,"-22,5314549","-43,2249532",5242
ACESSO IMPERATRIS DONA LEOPOLDINA,3428,95800000,CENTRO,VENANCIO AIRES,RS,"-29,6306693","-52,1962817",5245
AVENIDA JOSE FROIO,65,17830000,CENTRO,FLORIDA PAULISTA,SP,"-21,6148283","-51,1716156",5247
AVENIDA JOAO PAULO II,1710,68700050,DOM JOAO VI,CAPANEMA,PA,"-1,2035534","-47,178546",5249
RUA PONTA GROSSA,585,85670000,COLINA VERDE,SALTO DO LONTRA,PR,"-25,7808413","-53,3124157",5251
QUADRA B,,47802470,LOTEAMENTO FLAMENGO,BARREIRAS,BA,"-12,1359946","-44,9880446",5252
RUA MANOEL BITTENCOURT,122,89110000,7 DE SETEMBRO,GASPAR,SC,"-26,9268182","-48,9430069",5254
AVENIDA ANGELO SIMOES,1216,13042010,JARDIM LEONOR,CAMPINAS,SP,"-22,925969","-47,057666",5256
ESTANCIA HS,SN,17600970,AFONSO XIII,TUPA,SP,"-21,9340017","-50,5195856",5258
ADE CONJUNTO 4,SN,71986000,AGUAS CLARAS,BRASILIA,DF,"-15,801519","-47,860297",5260
RUA EST R GRANDE PEL BR,392,96209030,POVO NOVO 3 DISTR,RIO GRANDE,RS,"-32,0319414","-52,0996074",5262
AVENIDA OLEGARIO MACIEL,742,30180110,CENTRO,BELO HORIZONTE,MG,"-19,9205817","-43,945275",5264
RUA CLIMACO BARBOSA,813,01523000,CAMBUCI,SAO PAULO,SP,"-23,5669899","-46,6136048",5266
RUA CAPITAO PEDRO ESPERIDIAO HOFFER,665,08568700,NOVA POA,POA,SP,"-23,554702","-46,349357",5268
RUA CORONEL MANOEL FERREIRA,989,18970000,JARDIM DAS PAINEIRAS,CHAVANTES,SP,"-23,0362024","-49,7045395",5270
RUA OTACILIO MARTINHO RIBEIRO,140,18475000,CDHU,BOM SUCESSO DE ITARARE,SP,"-24,3189285","-49,1442631",5272
AVENIDA MONSENHOR TABOSA,200,60165010,CENTRO,FORTALEZA,CE,"-3,7238197","-38,5175386",5274
RUA HUGO WOLF,291,03720130,CANGAIBA,SAO PAULO,SP,"-23,5027819","-46,5278183",5276
QNP 14 CONJUNTO U,,72231421,CEILANDIA,BRASILIA,DF,"-15,801519","-47,860297",5278
AVENIDA ILDA ROSA DA CUNHA,19,11714010,BALNEARIO JAPURA,PRAIA GRANDE,SP,"-24,0309562","-46,5094784",5280
RUA GONCALO FERREIRA,125,68750000,CENTRO,CURUCA,PA,"-0,7398782","-47,851888",5282
RUA JOAO DE OLIVEIRA,27,06550000,VILA NOVA,PIRAPORA DO BOM JESUS,SP,"-23,3974507","-47,0024503",5284
RUA JOSE FREDERICO,64,02765070,VILA NOVA CACHOEIRINHA,SAO PAULO,SP,"-23,4770379","-46,6715733",5286
RUA MAJOR GOTE,1530,38700001,CENTRO,PATOS DE MINAS,MG,"-18,5969035","-46,515103",5288
AVENIDA ANA COSTA,100,11060000,VILA MATIAS,SANTOS,SP,"-23,9480507","-46,3308416",5290
RUA BELA VISTA,152,52051310,CASA AMARELA,RECIFE,PE,"-8,0130541","-34,915064",5292
AVENIDA PRESIDENTE VARGAS,2121,14020260,JARDIM AMERICA,RIBEIRAO PRETO,SP,"-21,2062178","-47,8105965",5294
